A2SR1M: https://akaposi.github.io/tipusrendszerek/natfun.pdf , 3. tétel
A7WZ76: https://akaposi.github.io/tipusrendszerek/natprod.pdf , 4. tétel
ANMS27: https://akaposi.github.io/tipusrendszerek/natsum.pdf , 7. tétel
AP9RXT: https://akaposi.github.io/tipusrendszerek/funprod.pdf , 8. tétel
BL4KZA: https://akaposi.github.io/tipusrendszerek/funsum.pdf , 9. tétel
C5FH2T: https://akaposi.github.io/tipusrendszerek/prodsum.pdf , 3. tétel
CC3HTK: https://akaposi.github.io/tipusrendszerek/natfun.pdf , 4. tétel
CGI9K2: https://akaposi.github.io/tipusrendszerek/natprod.pdf , 7. tétel
CNISQ5: https://akaposi.github.io/tipusrendszerek/natsum.pdf , 8. tétel
CNYJM7: https://akaposi.github.io/tipusrendszerek/funprod.pdf , 9. tétel
CVW5E8: https://akaposi.github.io/tipusrendszerek/funsum.pdf , 3. tétel
DG7VZG: https://akaposi.github.io/tipusrendszerek/prodsum.pdf , 4. tétel
DKC31P: https://akaposi.github.io/tipusrendszerek/natfun.pdf , 7. tétel
DLWKCD: https://akaposi.github.io/tipusrendszerek/natprod.pdf , 8. tétel
DVX468: https://akaposi.github.io/tipusrendszerek/natsum.pdf , 9. tétel
DY7123: https://akaposi.github.io/tipusrendszerek/funprod.pdf , 3. tétel
ER7AAT: https://akaposi.github.io/tipusrendszerek/funsum.pdf , 4. tétel
F2QJAO: https://akaposi.github.io/tipusrendszerek/prodsum.pdf , 7. tétel
F40B2I: https://akaposi.github.io/tipusrendszerek/natfun.pdf , 8. tétel
F90FVN: https://akaposi.github.io/tipusrendszerek/natprod.pdf , 9. tétel
FDUY6X: https://akaposi.github.io/tipusrendszerek/natsum.pdf , 3. tétel
FW2J5J: https://akaposi.github.io/tipusrendszerek/funprod.pdf , 4. tétel
HYKNSA: https://akaposi.github.io/tipusrendszerek/funsum.pdf , 7. tétel
IGDCJ7: https://akaposi.github.io/tipusrendszerek/prodsum.pdf , 8. tétel
IO31XB: https://akaposi.github.io/tipusrendszerek/natfun.pdf , 9. tétel
JFA88T: https://akaposi.github.io/tipusrendszerek/natprod.pdf , 3. tétel
JJ8O3E: https://akaposi.github.io/tipusrendszerek/natsum.pdf , 4. tétel
JN9R26: https://akaposi.github.io/tipusrendszerek/funprod.pdf , 7. tétel
KG5GVX: https://akaposi.github.io/tipusrendszerek/funsum.pdf , 8. tétel
LJCY93: https://akaposi.github.io/tipusrendszerek/prodsum.pdf , 9. tétel
LQR4Q5: https://akaposi.github.io/tipusrendszerek/natfun.pdf , 3. tétel
MKSHYT: https://akaposi.github.io/tipusrendszerek/natprod.pdf , 4. tétel
ONP3PA: https://akaposi.github.io/tipusrendszerek/natsum.pdf , 7. tétel
PCCOKS: https://akaposi.github.io/tipusrendszerek/funprod.pdf , 8. tétel
PG3NCA: https://akaposi.github.io/tipusrendszerek/funsum.pdf , 9. tétel
PGY16M: https://akaposi.github.io/tipusrendszerek/prodsum.pdf , 3. tétel
PJL2E7: https://akaposi.github.io/tipusrendszerek/natfun.pdf , 4. tétel
PLAB9E: https://akaposi.github.io/tipusrendszerek/natprod.pdf , 7. tétel
QXHERS: https://akaposi.github.io/tipusrendszerek/natsum.pdf , 8. tétel
S397HC: https://akaposi.github.io/tipusrendszerek/funprod.pdf , 9. tétel
S4MUKC: https://akaposi.github.io/tipusrendszerek/funsum.pdf , 3. tétel
TIAE4M: https://akaposi.github.io/tipusrendszerek/prodsum.pdf , 4. tétel
TJ3FZH: https://akaposi.github.io/tipusrendszerek/natfun.pdf , 7. tétel
U78L2Y: https://akaposi.github.io/tipusrendszerek/natprod.pdf , 8. tétel
UHYHYA: https://akaposi.github.io/tipusrendszerek/natsum.pdf , 9. tétel
UX3EWS: https://akaposi.github.io/tipusrendszerek/funprod.pdf , 3. tétel
UX3RF1: https://akaposi.github.io/tipusrendszerek/funsum.pdf , 4. tétel
VB7YW3: https://akaposi.github.io/tipusrendszerek/prodsum.pdf , 7. tétel
W759K7: https://akaposi.github.io/tipusrendszerek/natfun.pdf , 8. tétel
X3P07L: https://akaposi.github.io/tipusrendszerek/natprod.pdf , 9. tétel
YJ3VFM: https://akaposi.github.io/tipusrendszerek/natsum.pdf , 3. tétel
YXS8ZS: https://akaposi.github.io/tipusrendszerek/funprod.pdf , 4. tétel
